anno   lepri    linci    carote
1900   30000    4000     48300
1901   472000   61000    48200
1902   702000   98000    41500
1903   774000   352000   38200
1904   363000   594000   40600
1905   206000   417000   39800
1906   181000   19000    38600
1907   214000   13000    42300
1908   22000    83000    44500
1909   254000   91000    42100
1910   271000   74000    46000
1911   403000   8000     46800
1912   57000    123000   43800
1913   766000   195000   40900
1914   523000   457000   39400
1915   195000   511000   39000
1916   112000   297000   36700
1917   76000    158000   41800
1918   146000   97000    43300
1919   162000   101000   41300
1920   247000   86000    47300
